ProjectName,Is ML consumer,libraries,where,keywords,line_number
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,.no_grad(,489
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,.no_grad(,1156
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/benchmark.py,.no_grad(,324
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/inference.py,.no_grad(,264
rwightman/pytorch-image-models,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/convert/convert_from_mxnet.py,pretrained=True,17
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/norm_act.py,.forward(,137
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/norm_act.py,.no_grad(,173
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/hybrid_embed.py,.no_grad(,99
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/hybrid_embed.py,.no_grad(,138
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/weight_init.py,.no_grad(,66
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/weight_init.py,.no_grad(,93
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/weight_init.py,.no_grad(,114
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/weight_init.py,.no_grad(,118
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/classifier.py,.no_grad(,191
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/split_batchnorm.py,.forward(,33
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/split_batchnorm.py,.forward(,38
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/layers/patch_embed.py,.no_grad(,80
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/utils/model_ema.py,.no_grad(,72
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/utils/model_ema.py,.no_grad(,117
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/utils/model_ema.py,.no_grad(,205
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/utils/model_ema.py,.no_grad(,254
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/utils/onnx.py,.no_grad(,57
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/resnetv2.py,.no_grad(,579
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/efficientformer.py,.no_grad(,74
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/vision_transformer.py,.no_grad(,914
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/repvit.py,.no_grad(,39
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/repvit.py,.no_grad(,69
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/repvit.py,.no_grad(,102
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/timm/models/repvit.py,.no_grad(,217
