ProjectName,Is ML consumer,where,keyword,line_number,libraries,keywords
appinho/SAComputerVisionMachineLearning,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/BehavioralCloning/drive.py,,64,keras,.predict(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/util.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model.py,,34,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model_configs.py,,27,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_postfilters.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_discriminators.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,51,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,209,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,419,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,509,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,643,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,860,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,1087,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,1163,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,1483,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,1550,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,1809,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,2010,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,,2259,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,,111,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,,128,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,,144,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,,166,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/wavenet/conv.py,,51,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/anasyn.py,,21,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/gen_static_features.py,,31,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/generate.py,,48,torch,.no_grad(
GantMan/nsfw_model,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GantMan/nsfw_model/tf1/training/self_clense.py,,33,keras,.predict(
GantMan/nsfw_model,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GantMan/nsfw_model/tf1/training/self_clense.py,,33,keras,.predict(
